time,open,high,low,close,Volume
2023-08-04,0.5916,0.6019,0.5788,0.5921,575876.8
2023-08-05,0.5918,0.5918,0.5808,0.5907,211680.9
2023-08-06,0.5917,0.6089,0.5897,0.5909,469075.6
2023-08-07,0.5923,0.5982,0.5611,0.5819,835363.6
2023-08-08,0.5813,0.6021,0.576,0.5942,614467.8
2023-08-09,0.5947,0.6255,0.5884,0.5947,920696.1
2023-08-10,0.5946,0.6047,0.5871,0.6044,348062
2023-08-11,0.6049,0.6167,0.5961,0.6048,226373.5
2023-08-12,0.604,0.6132,0.6023,0.6074,213606.7
2023-08-13,0.6069,0.6139,0.5943,0.5976,330447.1
2023-08-14,0.5976,0.6047,0.5879,0.5996,824564.5
2023-08-15,0.5997,0.6022,0.5401,0.561,378208.2
2023-08-16,0.5605,0.5779,0.51,0.527,633069.2
2023-08-17,0.5266,0.5357,0.44,0.4739,1194507.6
2023-08-18,0.4739,0.4892,0.4656,0.4843,1088789.2
2023-08-19,0.4836,0.5644,0.483,0.5592,2082983.2
2023-08-20,0.56,0.5751,0.5371,0.5436,1294296
2023-08-21,0.5415,0.5459,0.5006,0.514,1301433.2
2023-08-22,0.5149,0.558,0.5058,0.5355,1666193
2023-08-23,0.536,0.6236,0.5356,0.601,2265655.3
2023-08-24,0.6028,0.6209,0.5569,0.5719,1531169.8
2023-08-25,0.5705,0.5705,0.5342,0.5564,1163462.1
2023-08-26,0.5547,0.6032,0.5477,0.588,1568178.1
2023-08-27,0.5872,0.597,0.5732,0.583,487366.2
2023-08-28,0.5805,0.5819,0.5357,0.547,1409848.2
2023-08-29,0.547,0.551,0.5085,0.5454,2414722.6
2023-08-30,0.5454,0.546,0.5158,0.5251,797814.7
2023-08-31,0.5247,0.5248,0.4832,0.5004,801956.3
2023-09-01,0.5009,0.5158,0.4814,0.4888,663998.3
2023-09-02,0.4885,0.5033,0.4828,0.4911,346948.3
2023-09-03,0.4906,0.5025,0.4731,0.4842,384087.4
2023-09-04,0.4858,0.4959,0.4722,0.4833,1271981.6
2023-09-05,0.483,0.4928,0.4669,0.49,597096.4
2023-09-06,0.4918,0.4985,0.4738,0.4809,1414276.8
2023-09-07,0.4812,0.4871,0.4766,0.4852,588936.9
2023-09-08,0.4852,0.4927,0.4738,0.4799,386348.8
2023-09-09,0.4794,0.4849,0.4767,0.4807,227470.3
2023-09-10,0.4776,0.48,0.445,0.4546,536096.1
2023-09-11,0.4546,0.4549,0.4189,0.4262,1485067.2
2023-09-12,0.4264,0.4569,0.4232,0.428,1672900.4
2023-09-13,0.4276,0.445,0.4188,0.4432,1109865.1
2023-09-14,0.443,0.4515,0.4362,0.4458,459167
2023-09-15,0.4454,0.4479,0.4317,0.4474,964902.9
2023-09-16,0.4468,0.4669,0.4462,0.4659,669524.4
2023-09-17,0.4652,0.4657,0.4259,0.4346,846058.6
2023-09-18,0.4341,0.4536,0.4266,0.4492,1059326.6
2023-09-19,0.4509,0.4566,0.4471,0.4541,584277.1
2023-09-20,0.4537,0.4547,0.4368,0.4474,784250.8
2023-09-21,0.4474,0.4571,0.4339,0.4399,363622.9
2023-09-22,0.4403,0.4455,0.4339,0.4455,376813.2
2023-09-23,0.4464,0.4506,0.44,0.4462,129535.1
2023-09-24,0.4461,0.4654,0.4363,0.4364,527375.3
2023-09-25,0.4362,0.4487,0.4331,0.4426,468860.8
2023-09-26,0.4426,0.4451,0.4344,0.4387,407457.6
2023-09-27,0.4375,0.4431,0.4275,0.4373,337048.4
2023-09-28,0.4398,0.45,0.435,0.4462,302561.7
2023-09-29,0.447,0.4966,0.4443,0.4771,1447690.8
2023-09-30,0.4781,0.4856,0.4624,0.4704,358379.4
2023-10-01,0.4705,0.5092,0.4649,0.5058,911190.2
2023-10-02,0.507,0.5072,0.4595,0.4659,600475.7
2023-10-03,0.4659,0.4683,0.4418,0.4447,881222.3
2023-10-04,0.4437,0.446,0.4254,0.4435,548454.7
2023-10-05,0.4426,0.449,0.4331,0.4355,284506.1
2023-10-06,0.4346,0.4482,0.4331,0.4437,313433.5
2023-10-07,0.4474,0.4591,0.4385,0.4429,402421.9
2023-10-08,0.4433,0.4441,0.4352,0.4377,320448.9
2023-10-09,0.4378,0.4388,0.402,0.4166,721556.4
2023-10-10,0.4165,0.4186,0.4118,0.4156,141203.2
2023-10-11,0.4166,0.4171,0.4015,0.4085,240823
2023-10-12,0.4089,0.4128,0.4008,0.4074,323118
2023-10-13,0.407,0.4239,0.4061,0.413,253430.1
2023-10-14,0.4122,0.419,0.4115,0.4157,281899.6
2023-10-15,0.4157,0.4157,0.4052,0.41,1085218.9
2023-10-16,0.4108,0.4294,0.4046,0.41,686571.5
2023-10-17,0.4094,0.4119,0.3689,0.3808,962300.9
2023-10-18,0.3803,0.3903,0.3644,0.3825,906748.9
2023-10-19,0.3828,0.3828,0.363,0.3712,672706.2
2023-10-20,0.3716,0.3882,0.3648,0.3829,481685.7
2023-10-21,0.3825,0.4,0.3808,0.3909,1400265.5
2023-10-22,0.3893,0.4184,0.3877,0.4036,881277.7
2023-10-23,0.4043,0.4217,0.3939,0.4207,4888872
2023-10-24,0.4214,0.4598,0.4163,0.4342,2529731.4
