time,open,high,low,close,Volume
2018-08-30,0.041014,0.041319,0.039908,0.040662,179969.014
2018-08-31,0.040662,0.041,0.036388,0.040139,190581.698
2018-09-01,0.04014,0.041705,0.04012,0.041048,174869.27
2018-09-02,0.04105,0.041416,0.040012,0.040489,156883.801
2018-09-03,0.040477,0.040518,0.039537,0.039799,178750.544
2018-09-04,0.039799,0.03995,0.03851,0.038761,187477.69
2018-09-05,0.038775,0.038928,0.03392,0.034106,343981.581
2018-09-06,0.034098,0.035861,0.033341,0.035278,355106.32
2018-09-07,0.035278,0.035899,0.033513,0.033632,266276.779
2018-09-08,0.033632,0.03683,0.030956,0.031834,271781.063
2018-09-09,0.031834,0.03249,0.030124,0.031362,307184.387
2018-09-10,0.031362,0.032111,0.029956,0.03122,289604.692
2018-09-11,0.031228,0.031436,0.028473,0.029435,306767.518
2018-09-12,0.029422,0.029433,0.026882,0.028918,400898.733
2018-09-13,0.028904,0.032989,0.028887,0.032504,406418.787
2018-09-14,0.032504,0.034089,0.03151,0.0322,344382.592
2018-09-15,0.032243,0.034721,0.032105,0.034056,217478.043
2018-09-16,0.034013,0.034321,0.032565,0.033862,215014.548
2018-09-17,0.033861,0.034432,0.030946,0.031384,284983.138
2018-09-18,0.031384,0.033638,0.031119,0.032894,247061.004
2018-09-19,0.032894,0.033746,0.032241,0.032816,217203.21
2018-09-20,0.032816,0.034836,0.03236,0.034522,235455.02
2018-09-21,0.034549,0.0372,0.033402,0.036658,409984.208
2018-09-22,0.036657,0.037512,0.035123,0.035849,222334.661
2018-09-23,0.035849,0.036816,0.0354,0.036461,176995.878
2018-09-24,0.036442,0.036597,0.034302,0.034631,190414.077
2018-09-25,0.034631,0.03467,0.031994,0.034064,297526.658
2018-09-26,0.034065,0.034143,0.032479,0.033154,234835.34
2018-09-27,0.033154,0.03473,0.032644,0.034253,214927.273
2018-09-28,0.034241,0.034573,0.032815,0.033445,230903.126
2018-09-29,0.03344,0.035991,0.032923,0.035077,245968.895
2018-09-30,0.035106,0.0359,0.0346,0.035178,184624.784
2018-10-01,0.035175,0.03538,0.03449,0.035023,166101.347
2018-10-02,0.035012,0.035102,0.03425,0.034556,167738.176
