time,open,high,low,close
2022-04-13,103.2794,105.9925,100.1125,104.9543
2022-04-14,104.9399,107.7159,98.7711,100.77
2022-04-15,100.7479,102.8835,99.5737,101.3723
2022-04-16,101.4015,103.4907,100.8148,102.1039
2022-04-17,102.0717,105.4473,99.6949,100.1783
2022-04-18,100.1775,102.6618,94.6144,102.3596
2022-04-19,102.3825,108.8075,101.0585,108.5608
2022-04-20,108.5175,110.9098,104.3343,105.6025
2022-04-21,105.59,110.0534,100.025,101.7602
2022-04-22,101.7729,103.562,99.2194,100.5656
2022-04-23,100.5366,102.9034,98.4003,100.6202
2022-04-24,100.6419,102.2638,98.47,99.2347
2022-04-25,99.2528,101.5862,94.4867,100.9728
2022-04-26,101.019,102.0069,94.6553,95.719
2022-04-27,95.7295,100.7381,94.9309,98.3643
2022-04-28,98.3084,100.5332,96.4002,98.2329
2022-04-29,98.2364,98.6443,92.3553,93.9291
2022-04-30,93.9535,94.9516,82.0275,84.7067
2022-05-01,84.6503,93.0938,84.1794,89.658
2022-05-02,89.6598,90.8612,85.1009,87.4785
2022-05-03,87.475,88.7741,84.6426,85.8358
2022-05-04,85.8357,93.0366,85.5004,92.7637
2022-05-05,92.7776,95.1915,81.2874,84.5013
2022-05-06,84.4977,84.7825,79.9475,81.6585
2022-05-07,81.6531,82.2817,77.1284,78.8017
2022-05-08,78.8252,79.3018,73.7247,75.3826
2022-05-09,75.3946,77.1616,61.697,62.1656
2022-05-10,62.1864,74.0102,60.2016,66.8136
2022-05-11,66.826,68.4024,43.108,50.7536
2022-05-12,50.7703,54.0125,35.9513,44.5248
2022-05-13,44.5325,56.8843,43.7713,48.8795
2022-05-14,48.9157,53.8375,45.8559,52.3266
2022-05-15,52.3512,59.2104,49.5559,58.7424
2022-05-16,58.7073,58.7073,51.8284,53.6944
2022-05-17,53.7558,58.1494,52.995,56.988
2022-05-18,56.9669,57.8004,49.3709,49.8517
2022-05-19,49.8927,53.98,48.1144,52.1286
2022-05-20,52.0955,53.5881,47.7826,49.3789
2022-05-21,49.3796,51.1556,48.3853,50.2439
2022-05-22,50.2464,53.1099,49.6207,52.4621
2022-05-23,52.4015,54.641,48.5314,49.1013
2022-05-24,49.1252,50.7785,47.0406,49.6364
2022-05-25,49.6048,50.5157,47.5205,47.9162
2022-05-26,47.8939,48.6059,41.7152,43.393
2022-05-27,43.3934,43.8765,39.94,41.0803
2022-05-28,41.1328,45.0486,40.2725,44.2265
2022-05-29,44.203,45.5931,41.7617,44.9345
2022-05-30,44.9499,48.3153,44.2053,47.2146
2022-05-31,47.1771,48.1759,44.5388,45.706
2022-06-01,45.7195,46.0898,39.5627,40.1007
2022-06-02,40.0949,41.6167,38.1207,40.8367
2022-06-03,40.8376,41.4937,37.6391,38.2379
2022-06-04,38.2455,39.5277,35.669,38.9735
2022-06-05,39.0095,40.1626,37.8447,38.4881
2022-06-06,38.4975,44.8017,38.3076,42.3714
2022-06-07,42.3641,42.6043,37.43,39.288
2022-06-08,39.283,40.8941,38.28,38.7999
2022-06-09,38.8085,41.9095,38.3991,39.9372
2022-06-10,39.9112,40.8511,36.7725,37.1156
2022-06-11,37.1223,37.8851,33.1436,33.8804
2022-06-12,33.8947,34.4751,30.5361,30.5947
2022-06-13,30.5913,31.0448,26.015,28.5503
2022-06-14,28.5203,32.1884,25.8678,29.5246
2022-06-15,29.5376,34.7737,26.75,34.7008
2022-06-16,34.6995,36.0029,29.5225,30.0869
2022-06-17,30.0589,32.0736,29.232,30.6582
2022-06-18,30.6335,31.9679,27.1351,31.96
2022-06-19,31.9937,35.3164,28.685,34.1849
2022-06-20,34.1579,36.8158,31.7018,35.2083
2022-06-21,35.2171,39.1375,34.1948,36.376
2022-06-22,36.3723,36.8309,33.6024,34.0877
2022-06-23,34.0976,38.5839,33.917,38.1191
2022-06-24,38.1273,42.8771,37.6398,41.8703
2022-06-25,41.8622,42.5913,39.7334,42.2
2022-06-26,42.2075,42.4478,39.125,39.3798
2022-06-27,39.3641,41.2168,37.873,38.4731
2022-06-28,38.4781,39.8451,35.0425,35.2919
