time,open,high,low,close,Plot,Plot
2014-06-06,660.99,664.94,646.8,649.39,606.8626666666659,1
2014-06-07,649.35,659.4,637.01,657.21,615.7719999999991,1
2014-06-08,657.21,664.5,652.5,658.7,624.4853333333325,1
2014-06-09,658.7,661.99,639.06,650.3,629.5726666666658,1
2014-06-10,650.3,672,646,657,634.3059999999991,1
2014-06-11,657,666.5,635.11,637.6,638.4073333333325,1
2014-06-12,637.6,647,575.2,597.99,639.6886666666658,1
2014-06-13,596.43,620.97,592.11,605,642.0553333333324,1
2014-06-14,605.2,606.98,522.15,570.27,638.6733333333325,1
2014-06-15,570.26,595.1,540,593.89,636.5186666666658,1
2014-06-16,593.61,612,582.1,591.1,634.1639999999992,1
2014-06-17,592.35,619,591.1,613.4,630.5833333333325,1
2014-06-18,613.4,619.6,601.5,608.1,626.1899999999991,1
2014-06-19,608.6,611.99,592.9,597.3,623.2099999999992,1
2014-06-20,596.06,598.28,582.37,592,618.6166666666658,1
2014-06-21,592,599.91,583.5,595.5,615.0239999999992,1
2014-06-22,596.9,615,595.5,603.4,611.4366666666659,1
2014-06-23,603.39,604.19,580.11,591.57,606.9613333333325,1
2014-06-24,591.02,597.79,580,580.56,602.3119999999992,1
2014-06-25,580.65,584.99,560.53,566.75,596.2953333333325,1
2014-06-26,566.75,584,562.9,581.98,592.5873333333325,1
2014-06-27,581.99,604.9,575.03,604,592.987999999999,1
2014-06-28,604,607.21,593.89,596.1,592.3946666666657,1
2014-06-29,596.1,607,593.37,601.95,594.5066666666656,1
2014-06-30,601.5,647.74,598.4,640.79,597.6333333333324,1
2014-07-01,642.26,665,636.1,641.34,600.9826666666656,1
2014-07-02,641.35,661.98,640.14,654.61,603.729999999999,1
2014-07-03,653.5,654,636.24,644,606.1233333333323,1
2014-07-04,644,648.66,629.3,632.11,608.4439999999989,1
2014-07-05,632.58,636.59,628.45,631.88,611.1026666666655,1
2014-07-06,631.59,644.69,630.38,637.38,613.8946666666654,1
2014-07-07,637.76,639.76,616.73,621.45,615.0979999999988,1
2014-07-08,620.31,629.85,617.51,625.36,617.3506666666656,1
2014-07-09,625.11,632.99,620.13,624.47,620.2779999999989,1
2014-07-10,623.24,626.55,608.43,615.84,623.5506666666656,1
2014-07-11,615.84,636.4,615.84,636,627.1519999999989,1
2014-07-12,636.2,642.79,630,636.31,629.3059999999989,1
2014-07-13,636.7,638.21,626.36,629.49,631.5319999999989,1
2014-07-14,629.6,630.25,616.8,619.17,632.6799999999989,1
2014-07-15,619.15,627.99,618.57,620.8,631.3473333333324,1
2014-07-16,620.11,622.5,611.21,616.48,629.6899999999989,1
2014-07-17,616.48,627.5,613,622.51,627.549999999999,1
2014-07-18,622.52,633.6,616.96,630.8,626.6699999999989,1
2014-07-19,630.8,632.1,625.6,629.3,626.4826666666655,1
2014-07-20,626.77,628.23,620.36,624,625.9573333333323,1
2014-07-21,624,624.95,616.8,620.01,624.7993333333324,1
2014-07-22,620,623.17,617.5,618.54,624.6053333333323,1
2014-07-23,618.56,620.9,616.21,619,624.1813333333322,1
2014-07-24,619,619.99,591.4,603.98,622.8153333333322,1
2014-07-25,602.43,608,592.5,600.47,621.7906666666655,1
2014-07-26,600.6,600.6,589,593.82,618.9786666666655,1
2014-07-27,593.9,599.78,590.1,591.55,615.9946666666656,1
2014-07-28,591.5,592,572,583.5,612.9286666666654,1
2014-07-29,584.86,590,577.11,583,610.5173333333322,1
2014-07-30,583.04,583.98,561.55,565.99,606.8633333333322,1
2014-07-31,566,590,561.47,580,604.4313333333322,1
2014-08-01,579.49,605.72,579.1,594.6,602.5706666666655,1
2014-08-02,594.6,596.6,585,587.6,599.6906666666656,1
2014-08-03,587.61,589,578.13,585.71,596.7846666666657,1
2014-08-04,587,595,581.22,586.6,594.2913333333323,1
2014-08-05,587.21,588.77,579,582.94,591.819999999999,1
2014-08-06,582.94,586.3,574.01,581.36,589.3413333333323,1
2014-08-07,582.87,592.7,576.5,586.8,587.1946666666656,1
2014-08-08,586.82,598.88,586.81,590.6,586.3026666666657,1
2014-08-09,590.61,591,584.19,589.98,585.6033333333323,1
